"","Cycle","Stress","Interferon","Hypoxia","Oxphos","Metal","Mesenchymal","pEMT","Alveolar","Basal","Squamous","Glandular","Ciliated","AC","OPC"
"155","LMNB1","NR4A2",,,,,,,,,,,,,
"156","LMNB2","NRARP",,,,,,,,,,,,,
"157","LSM4","NSUN6",,,,,,,,,,,,,
"158","LSM5","OVOL1",,,,,,,,,,,,,
"159","MAD2L1","PDK4",,,,,,,,,,,,,
"160","MAPRE1","PDLIM3",,,,,,,,,,,,,
"161","MCM10","PGM2L1",,,,,,,,,,,,,
"162","MCM2","PHLDA1",,,,,,,,,,,,,
"163","MCM3","PHLDA2",,,,,,,,,,,,,
"164","MCM4","PIM1",,,,,,,,,,,,,
"165","MCM5","PIM3",,,,,,,,,,,,,
"166","MCM6","PLAUR",,,,,,,,,,,,,
"167","MCM7","PLK2",,,,,,,,,,,,,
"168","MELK","PLK3",,,,,,,,,,,,,
"169","MIS18A","PMAIP1",,,,,,,,,,,,,
"170","MIS18BP1","PNRC1",,,,,,,,,,,,,
"171","MKI67","POLG2",,,,,,,,,,,,,
"172","MLF1IP","PPP1R10",,,,,,,,,,,,,
"173","MMS22L","PPP1R15A",,,,,,,,,,,,,
"174","MND1","PRKCA",,,,,,,,,,,,,
"175","MNS1","PRPF40A",,,,,,,,,,,,,
"176","MSH2","PTGS2",,,,,,,,,,,,,
"177","MSH6","PTRHD1",,,,,,,,,,,,,
"178","MTHFD1","RAB11FIP1",,,,,,,,,,,,,
"179","MXD3","RAB3IP",,,,,,,,,,,,,
"180","MYBL2","RALGDS",,,,,,,,,,,,,
"181","MZT1","RASD1",,,,,,,,,,,,,
"182","NAP1L1","RDH10",,,,,,,,,,,,,
"183","NASP","REL",,,,,,,,,,,,,
"184","NCAPD2","RGS2",,,,,,,,,,,,,
"185","NCAPD3","RHOB",,,,,,,,,,,,,
"186","NCAPG","RND1",,,,,,,,,,,,,
"187","NCAPG2","RND3",,,,,,,,,,,,,
"188","NDC80","RP1-313I6.12",,,,,,,,,,,,,
